id_observacion,cancion_artista,color,calificacion,escuchas_previas,edad_anios,nivel_energia
122,Gavilán o Paloma .José José,magenta,2.25,3,18,2
123,About You - The 1975,magenta,2,0,21,5
124,Aguanta corazon Los invasores de nuevo leon,amarillo,1.63,5,20,5
125,Quédate. Isi Vives,amarillo,3.24,20,20,3
126,Show - Ado,azul,2.86,2,20,5
127,Viento Caifanes,magenta,1.46,3,20,5
128,Sunshine de steve lacy,azul,2.09,8,24,3
129,Crack Rock - Frank Ocean,azul,3.2,5,21,2
130,"Nsqk, ciencia ficción",azul,4.58,19,22,5
131,No time to die - Billie Eilish,amarillo,1.79,4,19,4
132,Tek It .Cafuné,magenta,1.56,4,25,1
133,Dramatic Girl - Baby Keem,azul,4.07,12,18,2
134,Ebrio de Amor - Alta Consignia,magenta,1.66,1,20,5
135,Aishite Aishite Aishite - Ado,azul,1.2,1,24,2
136,NO PODEMOS SER AMIGOS Alvaro Diaz,magenta,3.19,17,24,5
137,Quédate. Isi Vives,amarillo,1.47,0,22,1
138,COMË N GO- Yeat,amarillo,2.54,1,25,4
139,Tarde o temprano - Nsqk,azul,3.07,12,21,5
140,Dramatic Girl - Baby Keem,azul,2.37,6,21,4
141,Sabía que no - Reezy,amarillo,3.44,16,22,1
142,lencois maranhenses - Beele,magenta,4.45,17,19,5
143,Tarde o temprano - Nsqk,azul,2.05,5,18,1
144,Figa de Guiné - Mari Froes,azul,2.69,5,20,2
145,"Baby again.. - Fred Again.., Skrillex y Four tet",magenta,2.12,1,20,3
146,Sunshine de steve lacy,azul,3.58,7,18,4
147,Más Te Recuerdo Julión Alvarez,magenta,2.4,12,22,4
148,In the closet - Michael Jackson,magenta,2.64,6,22,2
149,Bold - Liam Gallagher,amarillo,3.63,16,25,4
150,Extssy model junior h,amarillo,3.57,13,24,4
151,Not like us - Kendrick Lamar,amarillo,2.91,12,18,2
152,Not like us - Kendrick Lamar,amarillo,2.53,13,24,3
153,The girl is mine - Michael Jackson,azul,3.2,5,18,4
154,About You - The 1975,magenta,3.79,11,22,3
155,"Sofia, Clairo",azul,2.67,15,25,2
156,SexyBack-Justin Timberlake,azul,1.51,1,22,1
157,Baby Doll Dominic Fike,azul,2.56,8,22,5
158,AVOIDANT - Melanie Martinez,magenta,2.42,6,18,4
159,"Piel, Nsqk",azul,2.97,11,23,2
160,LOVELANGUAGE - Nsqk,amarillo,3.99,12,19,2
161,Yo siempre contesto - Latin Mafia,magenta,3.96,17,19,4
162,Homewrecker - Sombr,amarillo,3.78,9,24,3
163,I'm outta time - Oasis,azul,2.85,0,18,3
164,"Wet Dreamz, Jcole",amarillo,2.26,10,22,4
165,Diet Pepsi - Adisson Rae,amarillo,3.87,10,21,2
166,Dramatic Girl - Baby Keem,azul,3.81,10,21,4
167,Mr. Brightside - The killers,magenta,3.52,16,19,2
168,Back to December - Taylor Swift,azul,2.76,9,21,2
169,"La torre NY, Natanael Cano",magenta,3.11,13,19,3
170,I'm outta time - Oasis,azul,3.75,16,24,4
171,Te estoy Correteando. Latin Mafia,azul,2.94,16,18,1
172,Bold - Liam Gallagher,amarillo,3.09,13,21,5
173,"Wet Dreamz, Jcole",amarillo,3.34,8,23,1
174,"Piel, Nsqk",azul,2.5,6,18,4
175,LOVE - Clarent,magenta,4.12,20,23,4
176,Show - Ado,azul,2.84,9,23,5
177,Flavius' Girl -- Farya Faraji,magenta,1.97,6,25,2
178,Aizo-King Gnu,magenta,2.29,0,22,3
179,21 Guns - Green day,azul,3.83,16,22,3
180,Preso - José José,magenta,4.66,19,25,3
181,Met Tonight - Zayn,magenta,3.47,15,21,5
182,Extssy model junior h,amarillo,2.56,2,19,1
183,"Ivy, Franck ocean",azul,1.56,3,20,4
184,"Chicago freestyle, Drake",amarillo,3.11,4,25,3
185,EL ÚNICO - Ca7riel y Paco Amoroso,amarillo,2.97,16,24,5
186,Quédate. Isi Vives,amarillo,2.1,2,18,3
187,Not like us - Kendrick Lamar,amarillo,1.98,4,21,3
188,Someone like you-Adele,amarillo,2.38,1,18,2
189,"Marvin Gaye, If I should die tonight",azul,4.3,16,18,4
190,Caperuza- Fuerza Regida,azul,4.33,16,21,3
191,"Making My Way, Leslie Mills",magenta,3.6,16,25,1
192,Triple lavada Luis R Conriquez,magenta,3.75,18,22,3
193,Superestrella. Aitana,magenta,4.13,15,24,1
194,lencois maranhenses - Beele,magenta,3.25,14,24,4
195,Bachata en Fukuoka - Juan Luis Guerra,amarillo,2.7,12,19,4
196,Dardos - Romeo Santos y Prince Royce,magenta,4.01,14,24,1
197,"Jimmy Hendrix, Angel",azul,3.8,14,22,3
198,Mr. Brightside - The killers,magenta,2.75,13,23,5
199,Sticks & Stones - Lauren Spencer Smith,magenta,3.46,14,21,3
200,"Skin, Mac Miller",amarillo,3.57,14,20,1
201,Mi niña - Gabito Ballesteros y Víctor Mendivil,azul,2.92,2,18,3
202,The Weeknd -one of The grils,azul,4.77,20,20,1
203,Me gusta - Shakira y Anuel AA,azul,2.75,9,23,4
204,"Stefan, Hrdza",azul,3.77,16,18,2
205,"Full Moon Full Life - Azumi Takahashi, Lotus Juice y ATLUS Sound Team",amarillo,4.29,20,21,3
206,111- Yan Block,azul,2.35,9,22,5
207,EoO - Bad Bunny,azul,2.8,7,22,3
208,Radio - Bershy,magenta,3.21,13,23,3
209,Más Te Recuerdo Julión Alvarez,magenta,2.06,6,18,3
210,I Bet on Losing Dogs .Mitski,amarillo,3.16,17,20,3
211,PUNK ROCKY. A$AP ROCKY,azul,3.43,12,23,3
212,"Full Moon Full Life - Azumi Takahashi, Lotus Juice y ATLUS Sound Team",amarillo,2.04,6,22,5
213,MALASNOTICIAS. Álvaro Diaz,amarillo,2.88,5,21,2
214,Ni que valieras tanto el poder del norte,amarillo,3.9,15,25,2
215,Everybody Here Wants You - Jeff Buckley,azul,3.35,5,22,1
216,Aizo-King Gnu,magenta,3.36,5,22,2
217,"Baby again.. - Fred Again.., Skrillex y Four tet",magenta,3.17,9,20,5
218,Genesis $uicideboy$,magenta,3.5,11,19,5
219,PERDISTE EL EMMY - Álvaro Díaz,azul,3.16,9,24,4
220,"Mi buen amor - Mon Laferte, Bunbury",amarillo,1.81,7,19,5
221,Nunca he sido honesto - Latin Mafia,magenta,3.03,3,23,3
222,111- Yan Block,azul,3.8,18,20,5
223,111- Yan Block,azul,3.22,15,24,4
224,"Jimmy Hendrix, Angel",azul,2.56,0,25,4
225,I Think I Left the Stove On - Hotel Ugly,amarillo,2.74,15,19,5
226,Die with a smile-Bruno Mars y Lady Gaga,amarillo,1.72,5,25,5
227,24 hrs de nine vicious,azul,3.51,14,23,5
228,"Jako, Ladaniva",magenta,2.08,9,19,5
229,We are one - Pitbull,amarillo,3.08,15,21,5
230,LOVE - Clarent,magenta,3.6,11,25,5
231,Lil Geniuz- big Booty,amarillo,2.61,12,24,1
232,Neverita- Bad Bunny,azul,4.21,19,25,1
233,Tek It .Cafuné,magenta,4.29,18,18,4
234,Gotas de Fuego José José,magenta,2.35,4,19,1
235,Yanblock- 444,amarillo,3.46,6,19,4
236,Homewrecker - Sombr,amarillo,3.74,18,25,2
237,Oye mi amor- mana,magenta,3.17,17,21,5
238,Algo Mágico - Rauw Alejandro,azul,3.26,4,23,1
239,Mi niña - Gabito Ballesteros y Víctor Mendivil,azul,4.21,14,19,1
240,Shinunoga E-Wa - Fuji Kaze,amarillo,3.24,8,22,1
241,Dame un beso - Mario Santander,amarillo,2.59,3,23,5
242,Aguanta corazon Los invasores de nuevo leon,amarillo,1.37,1,22,4
243,Prisión Los Tigres Del Norte,magenta,2.92,11,25,4
244,BAMBUA - K-KING Y MAXIMAN,amarillo,3.49,8,25,4
245,No tiene sentido - Beele,amarillo,3.12,8,23,5
246,Whisper My Name. Drake,azul,3.42,20,21,3
247,NO PODEMOS SER AMIGOS Alvaro Diaz,magenta,2.64,7,23,4
248,Sabía que no - Reezy,amarillo,3.89,17,20,4
249,Belleza de cantina Cardenales De Nuevo leon,azul,4.32,17,25,4
250,EVIL - Melanie Martinez,amarillo,3.49,17,21,5
251,Only a Fool would say that - Steely dan,magenta,3.85,14,21,1
252,Ebrio de Amor - Alta Consignia,magenta,3.14,7,24,2
253,"New woman - Lisa, Rosalia",azul,2.98,9,18,3
254,Wicked Games - The Weekend,amarillo,3.39,13,22,5
255,I Really Want to Stay At Your House-Rosa Walton,magenta,3.17,17,22,2
256,Mientrar duermes junior h,amarillo,2.21,3,22,2
257,Instant Crush Daft Punk,azul,4.59,18,25,4
258,Sunshine de steve lacy,azul,3.01,10,18,1
259,Luna Roja - Soda Stereo,azul,2.35,11,20,3
260,Jazz (We’ve Got) - A Tribe Called Quest,magenta,3.01,10,24,2
261,Nightcall-kavinsky,magenta,3.23,6,20,5
262,Ni que valieras tanto el poder del norte,amarillo,1.37,0,21,4
263,SUSU - Omar Courts,amarillo,3.37,8,23,3
264,Mi niña - Gabito Ballesteros y Víctor Mendivil,azul,4.38,16,23,1
265,Dardos - Romeo Santos y Prince Royce,magenta,3.26,15,18,1
266,"Marvin Gaye, If I should die tonight",azul,4.27,19,19,4
267,All Falls Down - Kanye West,amarillo,2.21,0,20,5
268,Bachata en Fukuoka - Juan Luis Guerra,amarillo,2.26,4,19,2
269,Cold Heart - Dua Lipa,amarillo,4.07,18,19,2
270,"New woman - Lisa, Rosalia",azul,3.61,14,19,5
271,Lil Geniuz- big Booty,amarillo,2.98,4,24,1
272,Polos opuestos natanael cano,azul,2.58,6,23,3
273,It aint me Kygo,magenta,3.45,15,21,3
274,El Diablo .Mon Laferte,magenta,2.96,16,25,1
275,Nadie mas - Nsqk,magenta,2.82,11,19,3
276,Crack Rock - Frank Ocean,azul,3.31,13,22,4
277,Unloveable - The Smiths,amarillo,2.25,6,20,3
278,EoO - Bad Bunny,azul,4.22,20,22,2
279,Karmadame - Zoé,magenta,2.74,4,24,2
280,Cara de Carnaval -- Timbalada,amarillo,2.03,1,23,1
281,"Making My Way, Leslie Mills",magenta,3.43,13,20,2
282,Toma 1 C-kan,magenta,3.24,17,19,5
283,Duele. Isi Vives,magenta,4.15,14,23,3
284,Yo siempre contesto - Latin Mafia,magenta,3.57,18,23,2
285,Nightcall-kavinsky,magenta,2.56,3,23,1
286,Mientrar duermes junior h,amarillo,3.92,11,21,1
287,Honeypie-JAWNY,azul,2.79,2,25,2
288,21 Guns - Green day,azul,1.55,3,20,4
289,About You - The 1975,magenta,2,8,25,5
290,The Weeknd -one of The grils,azul,2.75,13,19,4
291,Homewrecker - Sombr,amarillo,4.03,13,20,2
292,Traitor olivia rodrigo,amarillo,2.9,14,24,5
293,"Stefan, Hrdza",azul,3.67,10,19,4
294,"Poetic Justice, Kendrick Lamar",amarillo,3.59,19,18,5
295,Breathe de the prodigy,amarillo,2.4,6,20,2
296,National Treasures - Drake,magenta,4.05,15,20,5
297,Sexy boy de air,azul,1.79,2,20,5
298,Sabía que no - Reezy,amarillo,3.42,6,22,1
299,Baby Doll Dominic Fike,azul,2.59,1,24,1
300,Somebody Else - The 1975,azul,2.87,2,19,2
301,Good 4 u olivia rodrigo,amarillo,1.62,1,24,2
302,Gotas de Fuego José José,magenta,4.49,16,25,2
303,National Treasures - Drake,magenta,3.13,14,23,2
304,Vía Láctea - Zoé,magenta,3.03,16,23,4
305,EVIL - Melanie Martinez,amarillo,2.91,12,23,3
306,Preso - José José,magenta,4.48,17,24,5
307,The girl is mine - Michael Jackson,azul,3.1,4,18,3
308,Ni que valieras tanto el poder del norte,amarillo,3.37,9,25,2
309,Dardos - Romeo Santos y Prince Royce,magenta,2.7,6,24,5
310,SUSU - Omar Courts,amarillo,1.13,0,22,1
311,"Love hangover - Jennie, Dominic Fike",magenta,1.86,2,21,2
312,"Saraiman, Ladaniva",amarillo,3.78,18,22,2
313,fantasmas - Humbe,amarillo,2.36,2,23,1
314,Cómo Le Explico Cornelio Vega,magenta,3.13,9,23,3
315,Ebrio de Amor - Alta Consignia,magenta,3.82,10,25,4
316,Locked out of heaven-Bruno Mars,amarillo,3.97,20,25,4
317,Feet Don't Fail Me Now .Joy Crookes,amarillo,3.07,19,18,2
318,I was Made for lovin'you-KISS,magenta,2.55,0,18,4
319,Bambous -- Caravan Palace,amarillo,3.44,8,20,1
320,Shinunoga E-Wa - Fuji Kaze,amarillo,3.2,15,18,1
321,"READY, STEADY, GO! - HARRY STYLES",azul,3.37,8,20,2
322,Superestrella. Aitana,magenta,3.26,18,24,3
323,Yo siempre contesto - Latin Mafia,magenta,2.76,6,25,4
324,I Bet on Losing Dogs .Mitski,amarillo,2.82,10,20,3
325,"Mama, My Chemical Romance",azul,3.93,13,19,3
326,Genesis $uicideboy$,magenta,2.54,2,25,4
327,Sticks & Stones - Lauren Spencer Smith,magenta,2.66,7,20,5
328,Die with a smile-Bruno Mars y Lady Gaga,amarillo,4.65,18,23,2
329,Triple lavada Luis R Conriquez,magenta,2.75,0,21,1
330,"READY, STEADY, GO! - HARRY STYLES",azul,3.44,13,21,2
331,Hasta Que Te Conocí - Juan Gabriel,magenta,2.36,1,20,5
332,Extssy model junior h,amarillo,3.56,12,25,1
333,Gavilán o Paloma .José José,magenta,3.38,14,19,2
334,Locked out of heaven-Bruno Mars,amarillo,3.18,5,24,1
335,Sexy boy de air,azul,2.17,2,20,3
336,PIRLO catriel y paco amoroso,azul,4.29,20,22,4
337,Woods - Mac Miller,azul,3.27,5,22,2
338,Bachata en Fukuoka - Juan Luis Guerra,amarillo,3.82,10,23,1
339,"Baby again.. - Fred Again.., Skrillex y Four tet",magenta,4.18,16,23,4
340,"Good Luck, Babe! - Chappell Roan",amarillo,2.87,12,19,1
341,Extssy model junior h,amarillo,3.63,8,23,5
342,LOVE - Clarent,magenta,4.21,14,25,2
343,Aishite Aishite Aishite - Ado,azul,3.77,11,18,4
344,Yanblock-666,amarillo,3.36,5,19,4
345,New Darling -- Maretu,magenta,3.55,17,22,5
346,"Good Luck, Babe! - Chappell Roan",amarillo,2.99,11,23,3
347,Dirty Diana - Michael Jackson,azul,3.46,10,23,2
348,"Cuscra, Lia Taburcean",magenta,2.83,14,24,5
349,Diet Pepsi - Adisson Rae,amarillo,4.55,20,19,3
350,Saliva - Viktor Vaughn (MF DOOM),azul,3.41,15,18,3
351,Te estoy Correteando. Latin Mafia,azul,2.96,16,19,2
352,Die with a smile-Bruno Mars y Lady Gaga,amarillo,2.99,13,23,1
353,Homewrecker - Sombr,amarillo,2.3,9,23,5
354,24 hrs de nine vicious,azul,4.02,20,25,4
355,si te pillara Beele,magenta,3.25,7,18,3
356,POWER - Kanye West,azul,1.97,3,25,4
357,Luna Roja - Soda Stereo,azul,1.85,4,18,5
358,"Ivy, Franck ocean",azul,4.13,20,25,3
359,Dumb boy - ALMAS,azul,3.51,9,18,2
360,That's what i like - Bruno Mars,azul,2.79,9,23,2
361,Selfless - The srokes,magenta,1.62,3,24,1
362,Sticks & Stones - Lauren Spencer Smith,magenta,2.63,7,21,5
363,Karmadame - Zoé,magenta,4.17,17,20,1
364,Mientrar duermes junior h,amarillo,1.95,0,23,5
365,Good 4 u olivia rodrigo,amarillo,2.1,5,25,2
366,Yanblock-666,amarillo,3.16,6,22,1
367,This love - Maroon 5,magenta,3.87,11,23,5
368,Luna Roja - Soda Stereo,azul,3.71,16,23,3
369,amoreux Alleu,magenta,2.85,0,18,2
370,Ghost Town Kanye West,magenta,4.14,13,25,4
371,Cara de Carnaval -- Timbalada,amarillo,3.15,14,19,2
372,All Falls Down - Kanye West,amarillo,2.91,2,21,1
373,We are one - Pitbull,amarillo,3.67,17,24,3
374,AVOIDANT - Melanie Martinez,magenta,1.99,1,20,3
375,Yanblock-666,amarillo,3.28,17,21,1
376,EVIL - Melanie Martinez,amarillo,3.49,12,20,4
377,lencois maranhenses - Beele,magenta,2.45,9,19,4
378,Bodies - Offset,azul,2.58,12,20,5
379,Nunca he sido honesto - Latin Mafia,magenta,2.38,1,19,1
380,That's what i like - Bruno Mars,azul,3.03,9,19,4
381,Devil in a new dress Kanye West,amarillo,1.88,5,20,4
382,Evergreen-omar apollo,magenta,3.06,3,19,2
383,Back to friends - Sombr,azul,2.16,2,24,5
384,Her. JVKE,magenta,2.51,5,20,3
385,fantasmas - Humbe,amarillo,2.52,11,21,5
386,Matte black $uicideboy$,magenta,2.73,5,20,5
387,Back to friends - Sombr,azul,3.02,14,24,3
388,Viento Caifanes,magenta,2.72,6,22,1
389,Yanblock- 444,amarillo,4.21,17,18,1
390,"Marvin Gaye, If I should die tonight",azul,3.11,20,21,1
391,All Falls Down - Kanye West,amarillo,3.96,13,22,4
392,Symphony- imagine dragons,azul,3.95,13,18,5
393,I Think I Left the Stove On - Hotel Ugly,amarillo,2.25,6,24,2
394,Porcelain de moby,amarillo,4.44,18,23,1
395,"Ivy, Franck ocean",azul,3.29,6,24,3
396,amoreux Alleu,magenta,1.76,4,18,5
397,Headshots - Isaiah Rashad,magenta,4.53,17,19,3
398,A XON DE QUE - FEID,amarillo,2.06,0,22,2
399,Me gusta - Shakira y Anuel AA,azul,3.41,7,23,2
400,All Falls Down - Kanye West,amarillo,2.96,6,18,5
401,"Good Luck, Babe! - Chappell Roan",amarillo,2.38,7,18,4
402,Symphony- imagine dragons,azul,3.77,13,24,4
403,EL ÚNICO - Ca7riel y Paco Amoroso,amarillo,2.5,7,20,5
404,A XON DE QUE - FEID,amarillo,4.63,19,22,3
405,"Kendrick Lamar, Gloria",amarillo,2.97,6,19,2
406,"Saraiman, Ladaniva",amarillo,3.66,13,25,4
407,MALASNOTICIAS. Álvaro Diaz,amarillo,2.55,4,18,2
408,SUPERPOSITION. Daniel Caesar,amarillo,3.96,11,22,3
409,"Mama, My Chemical Romance",azul,2.93,2,21,3
410,Blinding Lights - The Weeknd,amarillo,1.59,3,21,1
411,"Saraiman, Ladaniva",amarillo,3.04,2,21,5
412,Recess - Melanie Martinez,amarillo,2.44,7,22,2
413,Belleza de cantina Cardenales De Nuevo leon,azul,1.3,0,19,1
414,Dumb boy - ALMAS,azul,3.94,15,18,4
415,"I Still Believe, Hayden Panettiere",amarillo,2.98,6,25,4
416,"Poetic Justice, Kendrick Lamar",amarillo,3.09,6,23,4
417,Talk - Beabadoobee,azul,3.2,19,19,5
418,WHITE BOY WITH A GUN - Melanie Martinez,azul,2.53,7,25,3
419,"Nsqk, ciencia ficción",azul,1.72,3,22,3
420,LESS THAN A LOVER - JENNIE,magenta,3.36,14,18,4
421,24 hrs de nine vicious,azul,3.79,19,24,5
422,Karmadame - Zoé,magenta,2.98,7,20,1
423,Selfless - The srokes,magenta,4.08,18,21,1
424,Sexy boy de air,azul,2.81,8,22,5
425,I Think I Left the Stove On - Hotel Ugly,amarillo,2.78,11,20,2
426,I was Made for lovin'you-KISS,magenta,2.77,13,22,5
427,PURPLE - OLIVIA RODRIGO,amarillo,3.59,7,19,1
428,Viento Caifanes,magenta,2.79,5,25,2
429,She Will Be Loved - Maroon 5,amarillo,2.33,3,18,1
430,Yanblock- 444,amarillo,2.22,3,24,4
431,Preso - José José,magenta,2.23,7,25,1
432,Sabía que no - Reezy,amarillo,3.79,17,23,3
433,"Skin, Mac Miller",amarillo,3.24,12,21,1
434,"Message in a Bottle, Taylor Swift",amarillo,2.27,3,25,2
435,Met Tonight - Zayn,magenta,3.23,15,25,1
436,Feet Don't Fail Me Now .Joy Crookes,amarillo,2.63,7,18,4
437,Notion - The Rare Ocassions,amarillo,2.45,1,18,1
438,"Making My Way, Leslie Mills",magenta,1.97,3,23,2
439,Watermelon man version headhunters - Herbie hancock,magenta,3.51,14,19,5
440,"Mi buen amor - Mon Laferte, Bunbury",amarillo,3,9,20,3
441,SexyBack-Justin Timberlake,azul,1.56,1,19,4
442,"Full Moon Full Life - Azumi Takahashi, Lotus Juice y ATLUS Sound Team",amarillo,3.5,20,21,1
443,The girl is mine - Michael Jackson,azul,1.82,5,18,1
444,Te estoy Correteando. Latin Mafia,azul,3.37,14,25,1
445,"Love hangover - Jennie, Dominic Fike",magenta,3.25,9,22,1
446,Bambous -- Caravan Palace,amarillo,3.23,14,20,3
447,Flavius' Girl -- Farya Faraji,magenta,2.47,8,23,5
448,Crack Rock - Frank Ocean,azul,3.68,8,24,1
449,LOVE - Clarent,magenta,3.35,13,18,5
